Used_Algorithm,run_id,video_name,video_length,video_avg_bitrate_quality1,video_avg_bitrate_quality2,video_avg_bitrate_quality3,video_avg_bitrate_quality4,video_avg_bitrate_quality5,pattern_avg_throughput,pattern_timeshift,sim_avg_quality,sim_nr_of_switches,sim_nr_of_stallings,sim_avg_stalling_time,sim_total_stalling_time,sim_max_stalling_time,sim_avg_buffer_level,sim_max_buffer_level,sim_startup_nr_of_stallings,sim_startup_nr_of_switches,sim_startup_total_stalling_time,sim_endphase_nr_of_stallings,sim_endphase_nr_of_switches,sim_endphase_total_stalling_time,sim_critbuff_time,sim_lowbuff_time,sim_riskybuff_time,sim_healthybuff_time,sim_bloatedbuff_time,sim_jumps_1_levels,sim_jumps_2_levels,sim_jumps_3_levels,sim_jumps_4_levels,opt_avg_quality,opt_nr_of_switches,opt_avg_buffer_level,opt_max_buffer_level,opt_critbuff_time,opt_lowbuff_time,opt_riskybuff_time,opt_healthybuff_time,opt_bloatedbuff_time,opt_jumps_1_levels,opt_jumps_2_levels,opt_jumps_3_levels,opt_jumps_4_levels,opt_avg_quality_afull,opt_nr_of_switches_afull,buff_D,meta_alpha,meta_nn_model
HASBRAIN,002ecb2b-1d2e-4cf5-857a-db599a558189,lTZiRG1Hys0,326,0.378718937,0.663249881,0.03716584,0.082104254,0.1945169,0.007139814,189,3.484662577,1,0,0,0,0,63.93883792,97,0,0,0,0,0,0,0.741776686,2.422096156,4.829903277,237.7464431,168.9249218,1,0,0,0,3.947852761,2,11.54058193,25,35.48311235,144.1739533,219.4591311,105.6340126,0,1,1,0,0,4.039877301,93,10,na,Sigmoid242_Sigmoid110_Softmax5
HASBRAIN,004f44c4-a55d-45c0-85c4-66b5a6fd1d7d,YddVJx4yT1E,469,0.243436896,0.477239949,0.037763821,0.083703448,0.127672677,0.006076044,378,3.012793177,1,0,0,0,0,61.54893617,149,0,0,0,0,0,0,24.69581724,28.98000473,67.89886252,255.6647434,123.8076866,1,0,0,0,3.541577825,1,24.48668797,46,23.73110161,28.41664888,112.1592096,336.1895902,0,1,0,0,0,3.616204691,113,10,na,Sigmoid242_Sigmoid110_Softmax5
HASBRAIN,006a15b1-b2aa-4b91-81eb-a80b87c7a952,aZ4KNMnTsIs,386,0.413797029,0.82626675,0.038917554,0.085881216,0.207881202,0.005184078,77,3.077720207,1,0,0,0,0,69.97674419,130,0,0,0,0,0,0,3.003190311,5.892516051,16.97041305,250.3551178,156.6618927,0,1,0,0,3.471502591,1,39.50582147,78,17.60044357,28.85541937,47.28551743,337.3117358,83.33636186,1,0,0,0,3.562176166,60,10,na,Sigmoid242_Sigmoid110_Softmax5
HASBRAIN,00c32701-1823-489f-bc8a-bfd2bf2d1a78,IyTv_SR2uUo,296,0.390249874,0.780597622,0.037499315,0.08259445,0.213628396,0.011483274,700,3,0,0,0,0,0,27.02020202,37,0,0,0,0,0,0,1.52787691,4.471619659,9.83294376,253.9702292,0,0,0,0,0,3.114864865,1,26.1450253,35,1.224132878,4.200877909,9.872350963,265.191505,0,0,1,0,0,3.162162162,4,10,na,Sigmoid242_Sigmoid110_Softmax5
HASBRAIN,00ed8a49-cff5-499e-98c8-74d335d52227,ADgG7U3uErQ,268,0.097682428,0.211973632,0.014307065,0.031395781,0.048114577,0.007702502,154,4,0,0,0,0,0,75.81040892,147,0,0,0,0,0,0,2.358268903,4.748610278,9.779307602,115.3469665,77.1564762,0,0,0,0,5,0,11.33705773,20,10.84297181,71.32108577,201.5683827,49.81231246,0,0,0,0,0,5,0,10,na,Sigmoid242_Sigmoid110_Softmax5
HASBRAIN,00fc22ad-faa1-443f-b935-61e6ff9edec1,UYsjWR1bZBc,318,0.314135413,0.533550943,0.036933853,0.081696285,0.173667958,0.012735089,217,3.100628931,1,0,0,0,0,82.77429467,150,0,0,0,0,0,0,1.294546578,3.204296775,4.364033412,167.6877585,110.647578,0,1,0,0,4,0,8.671899529,20,79.15918227,184.5756693,259.0039244,51.16463579,0,0,0,0,0,4.081761006,62,10,na,Sigmoid242_Sigmoid110_Softmax5
HASBRAIN,0160af54-41f4-44cc-a720-d3deac1d89c6,xe-f4gokRBs,398,0.320061809,0.583676382,0.03689196,0.082803015,0.172432663,0.00923626,98,3.110552764,1,0,0,0,0,112.7243108,235,0,0,0,0,0,0,2.621574495,8.665154367,13.73536068,154.1275755,119.5026871,0,1,0,0,4.133165829,2,21.64366374,49,17.11011952,93.54681767,148.7125745,238.1720827,0,2,0,0,0,4.22361809,75,10,na,Sigmoid242_Sigmoid110_Softmax5
HASBRAIN,0184300b-19f0-4169-baca-0546f5f02fc5,PWPmUd3w8mo,432,0.015950093,0.031656728,0.008078549,0.015245154,0.021616914,0.00645527,441,4.912037037,2,1,17.55211695,17.55211695,17.55211695,65.21658986,161,1,1,17.55211695,0,0,0,21.61293611,39.48932919,43.44557312,249.5015745,111.6962137,2,0,0,0,4.944444444,1,52.59653179,136,9.047727075,74.12031973,89.60996224,211.0113803,74.92784139,0,1,0,0,4.981481481,8,10,na,Sigmoid242_Sigmoid110_Softmax5
HASBRAIN,018a685d-6142-4635-adec-9c36296026e1,D81u4XkDNLY,294,0.22418966,0.436398204,0.017604599,0.058321061,0.119982803,0.003995421,448,3,0,1,14.49092929,14.49092929,14.49092929,35.15878378,72,1,0,14.49092929,0,0,0,26.67759346,57.00537495,79.99203734,160.0766698,20.02435625,0,0,0,0,3.278911565,2,16.64516129,35,62.34804717,109.5261597,155.1202611,141.9459637,0,2,0,0,0,3.37755102,50,10,na,Sigmoid242_Sigmoid110_Softmax5
HASBRAIN,01980f2b-9210-4fe7-95c7-bdf287dc5f9b,DXU360o_w64,287,0.388188618,0.774830829,0.036979512,0.082118569,0.199369236,0.007474966,553,3,0,0,0,0,0,22.78472222,37,0,0,0,0,0,0,0.329587189,7.878794915,23.85464657,237.2876742,0,0,0,0,0,3.142857143,1,20.27652174,37,9.519918068,37.50234049,66.6855857,220.0342358,0,1,0,0,0,3.236933798,25,10,na,Sigmoid242_Sigmoid110_Softmax5
